tweet,label,tweet_asli
jangan marah,anger,jangan marah
ra emosi tapi weruh koe reply hawane ingin ngamok,anger,ws ra emosi tp weruh koe reply hawane pengen ngamok
kdrun bodoh tuh,anger,kdrun bego tuh..
tka tidak perlu asal jeplak kalau tidak tahu budaya orang indonesia bodoh jangan di pertontonkan tka buzzerrp dapat berapa receh dasar lambe arus,anger,tka gak usah asal jeplak kalau tidak tahu budaya orang indonesia.. bodoh jangan di pertontonkan.. tka buzzerrp dapet berapa receh.. dasar lambe arus
benci sekali saya njing sama kegiatan yang namanya bangun pagi,anger,benci banget gue njing sama kegiatan yang namanya bangun pagi!!
memang tidak bisa kalau urusan yang menuntut kinerja profesional tuh libatin keluarga ngegampangin sekali mau marah juga rasa tidak enakannya masih kentel nanti yang ada berpengaruh ke hubungan keluarga,anger,emang gak bisa kalo urusan yg menuntut kinerja profesional tuh libatin keluarga. ngegampangin bgt. mau marah jg rasa gak enakannya masih kentel. ntar yg ada ngaruh ke hub keluarga.
memang benci sekali sih kalau lihat komen di tiktok kalau main tiktok jarang buka komen biar tidak emosi sendiri,anger,"emang benci bngt si kalo liat"" komen di tiktok, kalo maen tiktok jarang buka komen biar gak emosi sendiri wkwk"
sudah tetiba kaitkn malaysia sih bodoh libertard ini takde lagi genocide di malaysia seperti berlaku di papua sekarang tertawa,anger,"dah tetiba kaitkn malaysia si bodoh libertard ni, takde lagi genocide di malaysia spt berlaku di papua sekarang lol"
abang mantannya gemini iya emosi kali kayaknya,anger,abang mantannya gemini ya? emosi kali kayaknya
wes ngene wae nder serlok saiki marakne emosi esuk esuk,anger,"wes ngene wae nder serlok saiki, marakne emosi esuk2"
sudah dekat tahun jadi kerajaan baru anak cakap tidak setuju kata tidak setuju dari awal sok patutnya tidak payah lah terlibat terus bodoh,anger,"dah dekat 2 tahun jadi kerajaan, baru nak cakap tak setuju. kata tak setuju dari awal. so patutnya tak payah la terlibat terus. bodoh."
hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan,anger,hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan!!
ribet sekali sudah paham kok di memaksa jadi tolol tidak paham aduh,anger,wkkw ribet banget. udah paham kok di paksain jadi tolol gak paham. hadeh
mau marah saja sekarang sudah malas,anger,mau marah aja skg udah males..
ini bukan dan juga jelas dong banyak minor tolong jangan bodoh kirim beginian ke base,anger,"ini bukan rp, dan juga jelas dong banyak minor plis jangan bodoh kirim ginian ke base"
kamu berdua sodaraan tapi lagi flirty tolol begini saya yang stres,anger,lu berdua sodaraan tp lg flirty tolol gini aku yg stress
saya sudah kali approachsmua ke rejectsedih siotsiap depresstu lah cukup takut approach dulu kali lah tapi effect after approach itu yang probklau diterima oklau kali sedihmalumarah semua adand its effect ur lifekdg rasa penat sudah hadap,anger,"aq dh 5 kali approach..smua ke reject..sedih siot..siap depress..tu la nk ckp takut nk approach dulu x la tp effect after approach tu yg prob..klau diterima ok..lau x sedih,malu,marah semua ad..and its effect ur life..kdg rasa penat dah nk hadap"
ini yang dicari bood mah jangan marah marah tapi healing he,anger,ini yang dicari. bood mah jangan marah marah. tapi healing hehe..
hadehh bodoh sekali sudah,anger,"hadehh, bego bgt dah"
meme tidak jelas tangganya ki step step proses begitu harusnya masa random bodoh sekali,anger,"meme gk jelas. tangganya ki step by step proses gitu harusnya, mosok random, bego banget."
masih pagi bikin emosi saja,anger,masi pagi bikin emosi aje
kamu tidak lebih dari orang iri yang kebetulan tolol,anger,lu ga lebih dri org iri yg kebetulan tolol.
mirip orang tolol,anger,kek orang tolol
jadi ingat kemarin niat masuk kamar mandi mau pakai pembalut tapi bahkan pipis pas sudah pipis pembalut iya tidak dipakai emosi sama diri sendiri,anger,"jd inget kmrn, niat masuk kamar mandi mau pake pembalut tp malah pipis. pas udh pipis pembalut nya kaga dipake. emosi sama diri sendiri"
woy tolong lah mu kalau lagi tolol tololnya kebangetan sekali,anger,"woy tolong lah mu klo lgi tolol, tololnya kebangetan banget"
makin kesini iya makin yaudahlah iya serah deh mau bagaimana pokoknya kalau sudah dibuat kecewa iya melepas tidak dendam cuma iya sudah begitu saja jadi cukup tahu saja lah intinya tidak bisa sama orang yang tidak bisa nghargaiin orang lain,anger,"makin kesini ya makin yaudahlah ya serah deh mau gmna pokonya kalau udh dibuat kcewa ya lepasin ,ga dendam cuma ya udah gtu aja ,jdi cukup tau aja lah ,intinya ga bisa sama orang yg ga bsa nghargaiin orng lain,,"
tidak peduli marah ataupun kesal ketika grup lawan memenangkan award karena itu netizen geram dengan tingkah sok hebat dari rae beberapa netizen berkomentar positif maupun negatif apaapaan dia baru saja debut sudah soksok an,anger,"tidak peduli, marah, ataupun kesal ketika grup lawan memenangkan award. karena itu, netizen geram dengan tingkah ""sok hebat"" dari rae. beberapa netizen berkomentar positif maupun negatif, apa-apaan dia!? baru saja debut sudah sok-sok an"
kenapa sih dapat yang tulus maunya yang brengsek bodoh,anger,"kenapa sih, dapat yg tulus maunya yg brengsek bodoh"
mirip apa iya tidak suka sama teman yang mengasih tahu tapi mirip sambil marah marah begitu apa tidak bisa kalem begitu,anger,"kek apa ya gasuka sm teman yang ngasih tau tapi kaya sambil marah marah gitu, apa ga bisa kalem gitu"
bayangkan saja ryo ani sih aced tahu tuh kena marah kan lyan lah kok saya berakhir gelut bertiga,anger,"bayangin aja ryo: ani sihh aced: tau tuh, kena marah kan lyan: lah kok aku?? berakhir gelut bertiga"
tidak menunggu lebaran pakminggu besok sudah mgatur mgatur orang kerjakeluar rumah dan mengatur mengatur shaft masjid lagi diusik terus dibuat tidak adil terus umat islam selain penyabar juga bisa marah jangan ditanya bagaimana kalau sudah marah,anger,"nggak nunggu lebaran pak,minggu bsk sdh mgatur2 org kerja,keluar rumah dan ngatur2 shaft masjid lagi. diusik terus, dibuat tidak adil terus. umat islam selain penyabar, jg bisa marah. jgn ditanya gmn kalau sdh marah."
pagipagi bangsat,anger,pagi-pagi bangsat
record of youth walau saya benci sekali sama endingnya,anger,record of youth walau gue benci bgt sama endingnya
syaraf bin edang puny malu bodoh cebong tolol sama dengan si mukidi,anger,syaraf bin edan..g puny malu goblok cebong tolol sama dngn s mukidi
kalau pasangannya tahu bakal marah tidak iya,anger,"kalo pasangannya tau, bakal marah nggak ya?"
kucing apa anjing bangsat,anger,kucing apa anjg bangsat
itu namanya pembodohan kok mau iya dihalalkan demi menutupi aib pria ini ustazah bodoh bukannya membela kaum perempuan bahkan memberikan kesempatan pria besar kepala,anger,itu namanya pembodohan.. kok mau ya kdrt dihalalkan demi menutupi aib pria.. ini ustazah bodoh.. bukannya membela kaum perempuan malah memberikan kesempatan pria besar kepala..
iya bestie tapi saya kaya orang bodoh kalau online ini karena banyak yang positif soalnya,anger,"iyaa bestie tp saya ky orang bego kalo online, ini krn banyak yg positif soalnya:("
rawedi di benci ramekso dikonco be your self ngadek jejek tampo basa basi,anger,"rawedi di benci, ramekso dikonco. be your self ngadek jejek tampo basa basi."
bukan emosian mbak tapi bikin emosi,anger,bukan emosian mba tapi bikin emosi
kamu yang tolol mirip ngejawab tapi tidak rinci pakar apa mirip begitu iq memang saya mengomong kalau saya ateis saya kan nebak skrip kamu pasti kamu bakal mengatai saya bukan ateis gegaran tidak follow akun ateis dan benar tebakan saya,anger,"kamu yang tolol + kayak tytyd. ngejawab tapi ga rinci, pakar apaan kek gitu, iq 69. emang saya ngomong klo saya ateis? saya kan nebak skrip kamu, pasti kamu bakal ngatain saya bukan ateis gegaran ga follow akun ateis. dan benar tebakan saya"
dulu pernah install tiktok gede rasa gede rasa pandemic iseng di rumah tidak punya pekerjaan mau mengapai tapi begitu lihat komen komenny saya mirip terbawa ikutan downgrade saya miskin saya mungkin bodoh tapi tidak sehina itu menghujat orang pakai komentar komentar yang kalau kamu baca heh serius ini orang indonesia yang komen,anger,"dulu pernah install tiktok gr2 pandemic, iseng di rumah nganggur mo ngapain, tp begitu lht komen2ny gw kyk kebawa ikutan ""downgrade"", gw miskin, gw mgkn bego, tapi ga sehina itu, ngehujat org pakai komentar2 yg kl lo baca, 'heh, serius ini org indo yg komen'?"
benci giler dengan orang yang tidak sabar an tidak hormat cuti orang,anger,srs benci giler dgn org yg tak sabar n tak hormat cuti org.
berarti gravity probeb sudah menyerah oke fix kamu ini baperan bodoh dan ingin terlihat pintar mengaku psnteis yang dibicarakan perasaan huek pakai simbol biar kelihatan anak pintar mengerti atom padahal tidak tahu apa apa malu saya malu karena ketahuan bohong,anger,"berarti gravity probe-b sudah menyerah? oke. fix. kamu ini baperan, bodoh dan ingin terlihat pinter. ngaku psnteis, yang dibicarakan perasaan. huek. pakai simbol biar kelihatan anak pinter ngerti atom, padahal nggak tahu apa2. malu aku malu, karena ketahuan bohong"
punya lama guna sonicator pastu semalam najmi cakap tahu tidak sonicator ini boleh buat jadi mandul i was like aneh aneh lah dia ini pastu tanya akmal akmal iya kan benci aa tanya diorang ini double confirm kat google dengan adnin tipu je diorang ini,anger,punya lama guna sonicator. pastu semalam najmi cakap tahu tak sonicator ni boleh buat jadi mandul? i was like aneh aneh lah dia ni. pastu tanya akmal. akmal iya kan. benci aa tanya diorang ni double confirm kat google dengan adnin. tipu je diorang ni
dari subuh sudah tidak mood pas main pun jadi emosi an,anger,"dari subuh udh ga mood, pas main ml pun jdi emosi an"
begini ini kalau punya netizen bodoh sekali ini bahas bola apa mau bahas tentang apa memang lazio tidak di roma pintar sedikit kenapa apa harus semua di jelaskan sejelas jelasnya kalau tidak paham diam jangan norak kalau bilang lazio ibukota prancis nah protes tidak apa apa tolol,anger,"begini nih kalau punya netizen goblok banget! ini bahas bola apa mau bahas tentang apa?! emang lazio gak di roma?! pinter dikit kenapa? apa harus semua di jelaskan sejelas jelasnya?! kalau kagak paham diem, jgn norak! kalau bilang lazio ibukota prancis nahh protes gpp. tolol."
akhh kenapa abang mark ganteng sekali bangsat di child ingin saya tidak bisa,anger,"akhh kenapa bang mark ganteng banget bangsat di mv child, pengen gw gak bisa"
kamu mengerti tidak drun dia sedang menjalankan sebagai anggota dewan yang dapat hak impunitas kadrun bodoh sekali sih kalau sih edi mulyadi sudah jelas menghina luar biasa merendahkan dengan nyebut kata kata binatang dan setan kamu kamu begitu dong saja tidak mengerti drun,anger,lo ngerti nggak drun dia sdg menjalankan krj sbg anggota dewan yg dpt hak impunitas. kadrun bego bgt sih. klo si edi mulyadi udh jelas menghina luar biasa merendahkan dgn nyebut kata2 binatang dan setan. lo kau gt dong aja nggak ngerti drun..
pram said ini lagu buat kalian yang punya rumah tapi terpaksa pergi karena suatu keadaan bangsat itu saya,anger,"pram said ini lgu buat kalian, yang punya rumah tapi terpaksa pergi karna suatu keadaan bangsat itu aku"
maklum mereka sudah pada gila semua gila cari untung untuk pindah ibu kota gila cari untung dengan uang pasokan aseng gila cari untung dengan akhir masa jabatan lalu sama sama rampok nkri bangsat,anger,"maklum mereka sdh pada gila semua .. gila cari untung untuk pindah ibu kota gila cari untung dengan uang pasokan aseng gila cari untung dengan akhir masa jabatan lalu sama sama rampok nkri, bangsat.."
agak kesal tapi tidak apa-apa,anger,agak kesal tp gapapa
i biasa i balas dendam kalau dia main game melampau lampau i palau masing dia siapa rasa adil tibee,anger,"i biasa i balas dendam, kalau dia main game melampau lampau, i palau msg dia. sape rasa adil? tibee"
dia marah yae di ship sama ayato katanya yae miko based on yae sakura on honkai yang memang canonically lesbian tapi ini kan genshin impact,anger,"dia marah yae di ship sama ayato, katanya yae miko based on yae sakura on honkai yang emang canonically lesbian tapi ini kan genshin impact"
tolol kamu,anger,tolol lu
nah sih cewek bodoh ini lah contoh pengguna tiktok yang bodoh iya sudah sampai dna,anger,nah si cwe bego ini lah contoh pengguna tiktok yg bego nya udh smpe dna.
tapi meningkat sekali hasilnya bagaimana kalau ditanyain terus kamu pikir dosen cuma bakal lihat dan jadikan laporan evaluasi kita jadi bungkus gorengan iya bakal ditanyain lah bambang bikin naik emosi pagi pagi,anger,tapi meningkat banget hasilnya gimana kalau ditanyain? trus kamu pikir dosen cuma bakal lihat dan jadiin laporan evaluasi kita jadi bungkus gorengan? ya bakal ditanyain lah bambang bikin naik emosi pagi2.
ih mau marah,anger,"ihh, mau marah!!"
ih kok marah marah sih,anger,ihh kok marah marah sihh
kan tolol tidak baca berita yang terdahulu bahkan terlihat tololnya juga tidak baca kamu kan juga tolol,anger,kan tolol enggak baca berita yang terdahulu malah terlihat tololnya juga enggak baca rpjmn kamu kan juga tolol
konyol og mengajak panaspanasan neng grup chat ketemu langsung laah gontokgontokan ketok moto sekalian tapi bar kui beres tidak sono dendamrasanrasan,anger,konyol og.. ngajak 'panas-panas'-an neng grup chat.. ketemu langsung laah gontok-gontok-an ketok moto sekalian.. tapi bar kui beres ga ono dendam/rasan-rasan.
pas ketemu tidak jadi marah jadi tambah sayang,anger,"pas ketemu, ngak jdi marah, jdi tambah syg hmm"
mau marah sekali anjingg ini dari kemarin mau mengeluarkan kecoa susah sekali kabur terus,anger,mau marah bgt anjingg ini dr kmrn mau ngeluarin kecoa 1 susah bgtt kabur mulu
lepaskanlah hati dan pikiranku dari keterikatan yang menjadikanku mudah marah dan berkecil hati,anger,lepaskanlah hati dan pikiranku dari keterikatan yang menjadikanku mudah marah dan berkecil hati
paling benci kalau emak bapak sudah mengomongkan jodoh im masih fuckin,anger,paling benci kalo emak bapak udh ngomongin jodoh. im still fuckin 19
saya juga dibebasin dulu sama bapak mau main sampai jam berapa tapi kalau sampai pagi iya tahu diri saja bapak tidak marah yang was wes wos tapi diam ini lebih baik ada yang mengingatkan karena sekarang iya taulah tidak ada tempat yang aman buat kaum hawa,anger,gue juga dibebasin dulu sama bapak mau main sampe jam berapa. tapi kalo sampe pagi ya tau diri aja. bapak ga marah yg was wes wos. tapi diem. ini mending ada yg ngingetin. karna sekarang ya taulah. gada tempat yg aman buat kaum hawa
memang dasar iya pada tolol semua yang komen begitu,anger,emang dasar nya pada tolol semua yang komen begitu
bodo amat anjing bulan kemarin terakhir saya minjemin kamu duit itu saya balikin dulu bangsat,anger,"bodo amat anjrit bulan kemaren terakhir gue minjemin lo duit, itu 2,7jt gue balikin dulu bangsat"
kamu sih protes jadi kena marah kan,anger,"kamu sih protes, jadi kena marah kan."
woilah pagi pagi bikin emosi anjing,anger,woilah pagi pagi bikin emosi anjir
sek pagi wes emosi udaah mau hari tidak bisa login,anger,"sek pagi wes emosi, udaah mau 3 hari gabisa login."
balas dendam biar yakin kalau suami istri bisa saling nutup aib,anger,"balas dendam, biar yakin kl suami istri bs saling nutup aib"
dia pasti merasa bersalah sekali sama sone dasar agensi bangsat,anger,dia pasti ngerasa bersalah banget sama sone dasar agensi bangsat
saya bangunbangun jam panik sekali anjing sudah siapsiap mau tidak mandi kesekolah eh ternyata hari ini libur gara gara guru ada yang meninggal bangsat memang sudah panik sekali anjing,anger,"gua bangun-bangun jam 6:45, panik bat anjir. udah siap-siap mau ngga mandi kesekolah, eh ternyata hari ini libur gegara guru ada yang meninggal. bangsat emang. udah panik bat anjir"
iya benar benar emosi kalau lihat nino dibanding irvan dengan ketidak tahu diri dan magadirnya tuh buat gedek,anger,wkwkwk iya bener2 emosi kalau lihat nino dibanding irvan wkwk dengan ketidak tahu diri dan magadirnya tuh buat gedeg
emosi juga menjenguk banyak post dari owner yang kematian kucing akibat virus parvo bukan emosi sebak emosi anak marah tolonglah vaksin kucing dulu saya taktahu juga pntgnya vaksin untuk kucing,anger,"emosi juga tgk byk post dr owner yg kematian kucing akibat virus parvo. bkn emosi sebak, emosi nak marah. tolonglah vaksin kucing. dulu aku taktahu juga pntgnya vaksin utk kucing"
pagi pagi sudah emosi,anger,pagi2 dah emosi
hidup di negara isinya kenthu saja bangsat,anger,hidup di negara isinya kenthu doang bangsat
bersin sedikit saya parno ingin swab astaga benci sekali omicron bikin hidup tidak tenang,anger,bersin dikit gw parno pengen swab astaga benci bgt omicron bikin idup ga tenang
dari tadi absen harus emosi dulu baru sidik jari benar benar kebaca,anger,drtd absen harus emosi dulu baru sidik jari benar2 kebaca
saya benci sekali sama mantan,anger,gue benci banget sama mantan
yang dari kota sebelah kena penjara bulan denda iya juta gara gara kerumunan lah yang inikok bisa iya maaf saya orang biasa yang bodoh tidak ngertiatau jangan jangan saya ini yang dibodoh dibodohin sama yang beginian iya,anger,"yg dari kota sebelah kena penjara 8 bulan denda nya 20 jt gegara kerumunan lah yg ini??..kok bisa ya, maaf sya org biasa yg bodoh gak ngerti..atau jangan2 sya ini yg dibodoh2in ama yg beginian ya?"
halah nanti pas saya jawab saya dikatai nyontek gugel lagi jawab salah tidak jawab salah oalah angel ancen lek wes debat karo banci tolol koyok ngene saya sih isin wakak,anger,"halah, ntar pas gw jawab, gw dikatain nyontek gugel lagi, jawab salah ga jawab salah. oalah, angel ancen lek wes debat karo banci tolol koyok ngene, aku seh isin wakak"
memang benar bangsat,anger,emang bener bangsat
yang komen buruk ini benaran ada masalah sama otaknya kayaknya tolol sekali,anger,"yang komen buruk ini beneran ada masalah sama otaknya kayaknya, tolol banget. ."
ini tidak ada kabar comeback lim sudah waktunya tolol,anger,ini rcpc ga ada kabar comeback? lim sudah waktunya tolol
punya tidak si kamu teman yang datang pas butuh saja giliran kita yang butuh dia bahkan menghilang mirip diculik setan pagi pagi sudah buat emosi saja anjing,anger,"punya gasi lo temen yang dateng pas butuh doang, giliran kita yang butuh dia malah ngilang kek diculik setan. pagi pagi dh buat emosi aja anjingggggggg"
kenapa bisa ada orang terserah terserah sih capai anjing kamu kalau ditanya jawab dong iya atau tidak mau atau tidak yaallah emosi saya,anger,"kenapa bisa ada orang terserah terserah sih cape anjg, lo kalau ditanya jawab dong iya atau engga, mau atau engga, yaallah emosi sy"
pagi pagi sudah emosi gara gara baca 2ha,anger,pagi pagi udah emosi gara gara baca 2ha
ini kalau saya isiin mirip begini bisa bisa habis di comot ponakan saya terus di membagikan ke teman teman iya baik nyerempet bodoh dia,anger,"ini klo gue isiin kyk gini bisa2 abis di comot ponakan gue trus di bagiin ke temen2 nya, baik nyerempet bego dia"
kamu benci jamet sih sebenarnya bukan pesepeda motor,anger,lo benci jamet sih sebenernya bukan pesepeda motor
wanita ini pamer tidak mau beri tip ke pelayan ternyata balas dendam karena pernah jadi korban ghosting,anger,"wanita ini pamer ogah beri tip ke pelayan, ternyata balas dendam karena pernah jadi korban ghosting"
simpanse memiliki kecerdasan yang mirip dengan manusia mampu menampilkan berbagai emosi mengenali diri sendiri di cermin dan lain juga dapat belajar bahasa isyarat untuk berkomunikasi dengan manusia bagaimana dengan masih bodoh betah jadi jongos peng peng oligarki an cukong,anger,"simpanse memiliki kecerdasan yg mirip dgn manusia - mampu menampilkan berbagai emosi, mengenali diri sendiri di cermin dll. juga dpt belajar bahasa isyarat utk berkomunikasi dgn manusia. bijimane dgn masih bodoh & betah jd jongos peng peng oligarki n cukong"
tidak tahu lagi tidak ada lagi tempat buat kamu curhat tidak ada lagi tempat buat kamu cerita karena satusatunya tempat sudah kamu sia siain tolol,anger,gatau lg gaada lg tempat buat lo curhat gada lg tempat buat lo cerita karna satusatunya tempat udah lo sia siain tolol
otak kaum kamu yang tolol pakai sumber yang nasional drun,anger,otak kaum lo yg tolol. pake sumber yg nasional drun.
i ship both tho tapi kalau gatekeeping itu tolol,anger,"i ship both tho, tapi kalo gatekeeping itu tolol"
bagus tapi mau marah,anger,bagus tapi mau marah
semua harus di bayar dengan balas dendam sasuke uchiha,anger,semua harus di bayar dengan balas dendam -sasuke uchiha
terlampau taksub pun susah ended up menampak macam orang bodoh,anger,terlampau taksub pun susah ended up nampak macam orang bodoh
hooh kalau saya bahkan makin jengkel,anger,ho'oh kalo aku malah makin jengkel
menonton film antagonisnya mengesalkan benci sekali saya lihat muka kamu jijik ingin saya ludahin,anger,"nonton pilem, antagonisnya ngeselin, ""benci banget gue lihat muka lo, jijik pengen gue ludahin."""
halah banyak bicara terus ini sih tua tolol jawab dulu orang panteis tuh harus mirip bagaimana pengertian panteis yang tidak nyontek gugel tuh bagaimana kok jauh sekali sampai ke uiugm ini kita lagi bahas apa sih kok makin ngalor ngidul gara gara kamu jangan bawa perasaan gara gara cewek viktor malu sama,anger,"halah bacot mulu nih si tua tolol, jawab dlu org panteis tuh harus kek gimana, pengertian panteis yg ga nyontek gugel tuh gimana, kok jauh banget ampe ke ui/ugm. ini kita lagi bahas apaan sih? kok makin ngalor ngidul gegara kamu. jgn baper gegara cewe viktor, malu ama tytyd"
manusia bodoh sama anak kecil saja begitu kalau tidak suka ya sudah tinggal skip jangan rasis begitu aduh setan setan itu yang komentar pasti lebih seram dari setan,anger,"manusia bodoh, sm anak kecil aja begitu. kalo gk suka yaudah tinggal skip. jgn rasis gitu, hadeehh setan setan, itu yg komentar pasti lebih serem dri setan"
lagi marah,anger,lagi marah
kenapa au yang saya baca masih pada on going saya kesal,anger,"knp au yg ak baca masi pd on going, aku kesal"
kalau saya marah mengambek kalau saya blsjwbnya singkat singkat akhirnya cuekin kamu itu artinya saya ingin kamu peka perhatian perduli,anger,"kalo aku marah, ngambek, kalo aku bls/jwbnya singkat2 & akhirnya cuekin kamu. itu artinya aku pengen kamu peka, perhatian & perduli."
bodoh bin bodoh kalau kamu ateis kamu akan memfollow akun akun sains bukan perasan bahkam dalam berbohong pun kamu bodoh sekali sekarang mengaku ateis iya,anger,"goblok bin bodoh. kalau kamu ateis kamu akan memfollow akun2 sains, bukan perasan. bahkam dalam berbohong pun kamu bodoh sekali sekarang ngaku ateis? iya?"
mantap tri tidak mirip bank mandiri goblok meminta ampun ditanya beda orang jawabannya gakjelas dan muter muter memang swasta didikannya beda sama didikan plat merah jikubiniu asli gedek sekali pulsa habis banyak cuma telepon callcenter bodoh,anger,"mantep tri, gk kayak bank mandiri, gblk minta ampun ditanya beda orng jawabannya gakjelas dan muter muter, emang swasta didikannya beda ama didikan plat merah jikubiniu asli gedek bngt, pulsa habis bnyk cuma telp callcenter bodoh"
tapi kalau yang kata mbak iya bilang mau putus sekolah iya kaya iya bukan ibu saya saja yang marahh bapak saya juga lebih marah lagi jangan lupa tetangga pun pastinya ikut bergonjang ganjing atas hidup ini,anger,tp kalo yg tbtb kata mba nya bilang mau putus sekolah ya ky nya bukan mak w aja yg marahh bapak w jg lebih marah lagi jgn lupa tetangga pun pastinya ikut bergonjang ganjing atas hidup ini wkwk
jangan bodoh merasa baik baik saja seakan tidak perduli dasar bodoh,anger,jangan bodoh merasa baik baik saja seakan tak perduli dasar bego
itu tukang sate bodoh amat iya kenapa memang masa bara api dikipasin sampai mampus juga tidak bakal dingin,anger,"itu tukang sate bego amat yaa! | kenapa emang ? | masa bara api dikipasin, sampe mampus jg gak bakal dingin | -__-"
lebih baik kamu baca saya biar saya pagi pagi tidak emosi,anger,mending lo baca dm gue biar gue pagi2 tidak emosi
nah kalau ini bukan pick me girl lagi lebih ke tolol sekali anjing girl,anger,"nah kalo ini bukan pick me girl lagi, lebih ke tolol banget anjing girl"
rich itu sudah lama sekali rich ngehapus sebagian memorinyaa kaah mirip dia benci sekali memori itu dan dia gamauu ingat,anger,rich itu udah lama sekali rich ngehapus sebagian memorinyaa kaah? kek dia benci sekali memori ituu dan dia gamauu inget?
saya tidak habis pikir petani kita sudah dibeginikan tapi masih saja mau pilih yang itu lagi dan lagi dikasih tahu bahkan marah kapan sadarnya,anger,"saya gak habis pikir petani kita sudah dibeginikan tapi masih aja mau pilih yang itu lagi dan lagi. dikasih tau malah marah, kapan sadarnya??"
bodoh apa petik petik nama saya,anger,bodoh apa petik2 nama aku
saya akan sentiasa akan bapak ang itu selagi saya tidak dapat tumbuk muka dia itu bodoh ingat saya ini takdak muka kak selamani babi betui lah kurang ajaq,anger,aku akan sentiasa akan bapak ang tu selagi aku tak dpt tumbuk muka dia tu bodoh ingt aku ni takdak muka ka selamani babi betui la kurang ajaq.
bangsat perusak moral masih kecil sudah mengajari cintaan belum sunat saja sombong sudah sono pergi kelaut saja all comati,anger,"cjr bangsat! perusak moral ! masih kecil udh ngajarin cinta""an, belum sunat aja sombong ! dah sono pergi kelaut aja ! cc : all comati"
kesal sekali apalagi di memasuki ke grup tidak jelas begini rasanya emosi sekali kenal juga tidak aduh,anger,"kesel bangett apalagi d masukin ke grup ga jelas begini, rasanya emosi bgt, kenal jg enggak, hadeh."
kenapa saya benci sekali di saat mirip begini karena adik sudah mulai dan dapat kabar teman teman sekolah iya pada sakit massal banyak yang sakit tidak tahu apakah memang sih word atau not yang jelas adik saya juga tiba tiba sakit dan iya saya berasumsi awalnya dari sekolahnya,anger,"kenapa w benci bgt ptm di saat kayak gini, krn adek udah mulai ptm, dan dapet kabar temen2 sekolah nya pada sakit massal, banyak yg sakit, gatau apakah emang c word or not, yang jelas adek w juga tiba2 sakit dan ya w berasumsi awalnya dari sekolahnya"
enak sekali bangsat bisa bisa iya di bilang flop,anger,enak bgt bangsat bisa bisa nya di bilang flop
demi allah benci sekali sama gwinam,anger,demi allah benci banget sama gwinam
baru mau sedih kenapa close endingnya bikin emosi semoga hari kamu senin terus,anger,"baru mau sedih kenapa close, endingnya bikin emosi. semoga hari lo senin terus"
saya benci,anger,aku benci ppkn
benci sekali,anger,benci bangett
bangun tidur lihat fan mu pada marah marah tahunya hadehh,anger,bangun tdr liat fans mu pada marah marah taunya hadehh
bangsat saya lagi nyanyi nyanyi di dapur ternyata ada orang luar yang lihat dari pintu dapur,anger,bangsat w lagi nyanyi nyanyi di dapur ternyata ada orang luar yang liat dari pintu dapur
wordle bodoh sekali nebak huruf lain di percobaan ketiga,anger,wordle 231 4/6 bego banget nebak huruf lain di percobaan ketiga
iya anjink ngakakk sampai harus menampar diri sendiri terus mirip hidup kamu bodoh,anger,"iy anjink ngakakk sampe kudu menampar diri sendiri trs kek hidup lo, bego "
capai sekali bacain opini orang tolol,anger,cape bgt bacain opini org tolol
tlong jangan bikin emosi pagipagi saya lagi puasa,anger,"tlong jgn bikin emosi pagi-pagi, aku lg puasa"
cuihh benci sekali yang jualan agama basii,anger,cuihh benci banget yg jualan agama basii
benerbener kalau lagi emosi tidak ada yang bisa kontrol tapi ujungnya selalu ada yang mengalah duluan buat bilang maaf,anger,bener-bener kalau lagi emosi ga ada yang bisa kontrol. tapi ujungnya selalu ada yang ngalah duluan buat bilang maaf .
blibet ini basictnya apa kok tiap hari bcra bodoh terus seolah pekerjaan sipil begitu saja seperti sesuatu yang indak mungkin bisa dikerjakan jokowi yang katanya sarjana kehutanan saja bisa bikin toll langit dan toll laut,anger,"blibet ini basictnya apa koq tiap hr bcra bodoh trs, seolah pekerjaan sipil gt aja spt sesuatu yg ndak mgkn bs dikerjakan, jokowi yg ktanya sarjana kehutanan sja bs bkin toll langit dn toll laut."
boleh mengomong bangsat tidak sih masih pagi sudah emosi jiwa,anger,boleh ngomong bangsat gak sih? :) masih pagi uda emosi jiwa
short au leejeno sudah end bikin emosi,anger,"short au leejeno udh end, bikin emosi"
banyak bicara bangsat,anger,bacot bangsat
tweet yang sangat menghadeuhkan bodoh dipiara tidak beranak dodonk,anger,tweet yang sangat menghadeuhkan.. *bego dipiara kagak beranak dodonk!!
marah ke,anger,marah ke
astronomi iya memang saya mengikuti kamu memang tolol sih cuma menyimpulkan dari following akun saya benar benar tolol berarti saya bukan ateis dong gara gara tidak follow akun ateis begitu kan logika kamu logika cacat pakar kok cacat,anger,"astronomi? iya emg saya ngikutin, kamu emg tolol sih cuma menyimpulkan dr following akun saya, bener2 tolol. berarti saya bukan ateis dong gara2 ga follow akun ateis. gitu kan logika kamu? logika cacat pakar kok cacat"
yakan dia adeknya anjing bagaimana sih maksud kamu anjing masih pagi ini iya jangan buat emosi,anger,"yakan dia adeknya anjir?? gimana sih maksud lu anjir, masih pagi ini ya jangan buat emosi bgst."
